 Point_source             
  SWAT+ Jun 17 2024        MODULAR Rev 2024.61.0                                
  
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
     1     1     1  2025     514    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     515    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     516    agrr                        0.000       0.000       0.000       0.000
     1     1     1  2025     517    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     518    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     519    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     520    agrr                        0.000       0.000       0.000       0.000
     1     1     1  2025     521    agrr                        0.000       0.000       0.000       0.000
     1     1     1  2025     522    agrr                        0.000       0.000       0.000       0.000
     1     1     1  2025     523    agrr                        0.000       0.000       0.000       0.000
     1     1     1  2025     524    frsd                        0.000       0.000       0.000       0.000
     1     1     1  2025     525    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     526    frsd                        0.000       0.000       0.000       0.000
     1     1     1  2025     527    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     528    agrr                        0.000       0.000       0.000       0.000
     1     1     1  2025     529    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     530    agrr                        0.000       0.000       0.000       0.000
     1     1     1  2025     531    agrr                        0.000       0.000       0.000       0.000
     1     1     1  2025     532    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     533    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     534    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     535    agrr                        0.000       0.000       0.000       0.000
     1     1     1  2025     536    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     537    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     538    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     539    agrr                        0.000       0.000       0.000       0.000
     1     1     1  2025     540    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     541    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     542    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     543    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     544    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     545    agrr                        0.000       0.000       0.000       0.000
     1     1     1  2025     546    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     547    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     548    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     549    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     550    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     551    agrr                        0.000       0.000       0.000       0.000
     1     1     1  2025     552    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     553    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     554    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     555    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     556    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     557    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     558    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     559    agrr                        0.000       0.000       0.000       0.000
     1     1     1  2025     560    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     561    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     562    hay                         0.000       0.000       0.000       0.000
