 Point_source              SWAT+ Jun 17 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor      n_tot          p_tot         dep_bf        velav_bf        
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm            tons       kg_N           kg_P            m/s             m/s        
     1     1     1  2025      23      23  cha023               0.1343E+01     0.0000E+00     0.1343E+01     0.6037E+01     0.1106E+00     0.1058E+00     0.1058E+00     0.8777E-03     0.3922E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.7468E+00     0.9030E-01     0.9190E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.2885E+03     0.0000E+00     0.2885E+03     0.3180E-04     0.8709E+00     0.1853E+00     0.9030E-01     0.0000E+00
     1     1     1  2025      24      24  cha024               0.7138E-01     0.0000E+00     0.7138E-01     0.4230E+00     0.5089E-01     0.3957E-01     0.3957E-01     0.5167E-03     0.1080E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.3761E+00     0.5716E-01     0.1270E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.4810E+02     0.0000E+00     0.4810E+02     0.1466E-03     0.3742E+00     0.7885E-01     0.5716E-01     0.0000E+00
     1     1     1  2025      25      25  cha025               0.6179E-01     0.0000E+00     0.6179E-01     0.3572E+00     0.2508E-01     0.1456E-01     0.1456E-01     0.6059E-03     0.9911E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.3994E+00     0.5950E-01     0.4600E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.3768E+02     0.0000E+00     0.3768E+02     0.1513E-03     0.1814E+00     0.3719E-01     0.5950E-01     0.0000E+00
     1     1     1  2025      26      26  cha026               0.7741E-01     0.0000E+00     0.7741E-01     0.4711E+00     0.1487E+00     0.1102E+00     0.1102E+00     0.1887E-02     0.3664E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.3528E+00     0.5477E-01     0.1867E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.5805E+02     0.0000E+00     0.5805E+02     0.5349E-03     0.9185E+00     0.1935E+00     0.5477E-01     0.0000E+00
     1     1     1  2025      27      27  cha027               0.1653E-01     0.0000E+00     0.1653E-01     0.1591E+00     0.2790E-01     0.2456E-01     0.2456E-01     0.3779E-03     0.2961E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1226E+00     0.2708E-01     0.4851E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.7214E+02     0.0000E+00     0.7213E+02     0.7835E-04     0.1511E+00     0.3931E-01     0.2708E-01     0.0000E+00
     1     1     1  2025      28      28  cha028               0.1044E+00     0.0000E+00     0.1044E+00     0.4932E+00     0.2259E+00     0.1791E+00     0.1791E+00     0.3680E-03     0.4648E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.6579E+00     0.8299E-01     0.1090E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.2770E+02     0.0000E+00     0.2770E+02     0.4694E-03     0.1350E+01     0.2512E+00     0.8299E-01     0.0000E+00
     1     1     1  2025      29      29  cha029               0.5330E-01     0.0000E+00     0.5330E-01     0.2635E+00     0.1281E+00     0.7766E-01     0.7766E-01     0.2247E-03     0.5021E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.5866E+00     0.7687E-01     0.1141E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.1713E+02     0.0000E+00     0.1713E+02     0.1189E-02     0.4480E+00     0.9857E-01     0.7687E-01     0.0000E+00
     1     1     1  2025      30      30  cha030               0.1025E+00     0.0000E+00     0.1025E+00     0.4978E+00     0.2792E+00     0.2217E+00     0.2217E+00     0.2799E-03     0.5723E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.6139E+00     0.7924E-01     0.2219E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.3053E+02     0.0000E+00     0.3053E+02     0.6231E-03     0.1505E+01     0.2808E+00     0.7924E-01     0.0000E+00
     1     1     1  2025      31      31  cha031               0.1317E-01     0.0000E+00     0.1317E-01     0.7943E-01     0.8643E-01     0.8714E-01     0.8714E-01     0.4611E-05     0.0000E+00     0.0000E+00     0.7112E-03     0.0000E+00     0.3609E+00     0.5561E-01     0.6935E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.9512E+01     0.0000E+00     0.9512E+01     0.3178E-04     0.2889E+00     0.5333E-01     0.5561E-01     0.0000E+00
     1     1     1  2025      32      32  cha032               0.5903E-01     0.0000E+00     0.5903E-01     0.3103E+00     0.1931E+00     0.1835E+00     0.1835E+00     0.5904E-04     0.9527E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.5035E+00     0.6943E-01     0.1402E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.2446E+02     0.0000E+00     0.2446E+02     0.7623E-04     0.1139E+01     0.2084E+00     0.6943E-01     0.0000E+00
